train dataset: size=20260
  inp: shape=(1, 64, 64)
  coord: shape=(4096, 2)
  cell: shape=(4096, 2)
  gt: shape=(4096, 1)
val dataset: size=52
  inp: shape=(1, 864, 1536)
  coord: shape=(2073600, 2)
  cell: shape=(2073600, 2)
  gt: shape=(2073600, 1)
model: #params=34.1K
epoch 221/1000, train: loss=0.0433, val: psnr=33.9358, 32.3s 2.1h/9.3h
epoch 222/1000, train: loss=0.0427, val: psnr=33.9156, 32.5s 2.1h/9.3h
epoch 223/1000, train: loss=0.0431, val: psnr=33.9324, 32.5s 2.1h/9.3h
epoch 224/1000, train: loss=0.0430, val: psnr=33.9317, 33.0s 2.1h/9.3h
epoch 225/1000, train: loss=0.0427, val: psnr=33.9357, 33.2s 2.1h/9.3h
epoch 226/1000, train: loss=0.0430, val: psnr=33.9119, 33.0s 2.1h/9.3h
epoch 227/1000, train: loss=0.0430, val: psnr=33.9414, 32.5s 2.1h/9.3h
epoch 228/1000, train: loss=0.0429, val: psnr=33.9147, 32.4s 2.1h/9.3h
epoch 229/1000, train: loss=0.0427, val: psnr=33.9346, 32.6s 2.1h/9.3h
epoch 230/1000, train: loss=0.0429, val: psnr=33.9261, 32.4s 2.1h/9.3h
epoch 231/1000, train: loss=0.0431, val: psnr=33.9368, 32.6s 2.1h/9.3h
epoch 232/1000, train: loss=0.0426, val: psnr=33.9441, 32.6s 2.2h/9.3h
epoch 233/1000, train: loss=0.0426, val: psnr=33.9519, 32.5s 2.2h/9.3h
epoch 234/1000, train: loss=0.0427, val: psnr=33.9445, 32.3s 2.2h/9.3h
epoch 235/1000, train: loss=0.0432, val: psnr=33.9344, 32.4s 2.2h/9.3h
epoch 236/1000, train: loss=0.0431, val: psnr=33.8988, 32.4s 2.2h/9.3h
epoch 237/1000, train: loss=0.0424, val: psnr=33.9208, 32.0s 2.2h/9.3h
epoch 238/1000, train: loss=0.0428, val: psnr=33.9488, 32.2s 2.2h/9.3h
epoch 239/1000, train: loss=0.0427, val: psnr=33.9396, 32.4s 2.2h/9.3h
epoch 240/1000, train: loss=0.0428, val: psnr=33.9315, 32.6s 2.2h/9.3h
epoch 241/1000, train: loss=0.0430, val: psnr=33.9459, 32.2s 2.2h/9.3h
epoch 242/1000, train: loss=0.0428, val: psnr=33.9465, 32.5s 2.2h/9.3h
epoch 243/1000, train: loss=0.0427, val: psnr=33.9193, 32.4s 2.3h/9.3h
epoch 244/1000, train: loss=0.0430, val: psnr=33.9174, 32.2s 2.3h/9.3h
epoch 245/1000, train: loss=0.0427, val: psnr=33.9058, 32.3s 2.3h/9.3h
epoch 246/1000, train: loss=0.0429, val: psnr=33.9257, 32.6s 2.3h/9.3h
epoch 247/1000, train: loss=0.0429, val: psnr=33.9345, 32.2s 2.3h/9.3h
epoch 248/1000, train: loss=0.0430, val: psnr=33.9018, 32.3s 2.3h/9.3h
epoch 249/1000, train: loss=0.0427, val: psnr=33.9377, 32.4s 2.3h/9.3h
epoch 250/1000, train: loss=0.0428, val: psnr=33.8775, 32.2s 2.3h/9.3h
epoch 251/1000, train: loss=0.0427, val: psnr=33.9716, 32.4s 2.3h/9.3h
epoch 252/1000, train: loss=0.0429, val: psnr=33.8876, 32.3s 2.3h/9.3h
epoch 253/1000, train: loss=0.0431, val: psnr=33.9380, 32.3s 2.3h/9.3h
epoch 254/1000, train: loss=0.0431, val: psnr=33.9188, 32.1s 2.4h/9.3h
epoch 255/1000, train: loss=0.0429, val: psnr=33.9175, 32.1s 2.4h/9.3h
epoch 256/1000, train: loss=0.0432, val: psnr=33.9485, 32.5s 2.4h/9.3h
epoch 257/1000, train: loss=0.0426, val: psnr=33.9229, 32.4s 2.4h/9.2h
epoch 258/1000, train: loss=0.0427, val: psnr=33.9230, 32.3s 2.4h/9.2h
epoch 259/1000, train: loss=0.0429, val: psnr=33.9226, 32.5s 2.4h/9.2h
epoch 260/1000, train: loss=0.0432, val: psnr=33.9482, 33.0s 2.4h/9.2h
epoch 261/1000, train: loss=0.0428, val: psnr=33.9618, 32.1s 2.4h/9.2h
epoch 262/1000, train: loss=0.0429, val: psnr=33.9365, 31.8s 2.4h/9.2h
epoch 263/1000, train: loss=0.0431, val: psnr=33.9446, 32.9s 2.4h/9.2h
epoch 264/1000, train: loss=0.0426, val: psnr=33.9433, 34.2s 2.4h/9.2h
epoch 265/1000, train: loss=0.0426, val: psnr=33.9512, 34.0s 2.5h/9.2h
epoch 266/1000, train: loss=0.0428, val: psnr=33.9115, 34.3s 2.5h/9.2h
epoch 267/1000, train: loss=0.0428, val: psnr=33.9324, 33.6s 2.5h/9.2h
epoch 268/1000, train: loss=0.0426, val: psnr=33.9325, 33.2s 2.5h/9.2h
epoch 269/1000, train: loss=0.0431, val: psnr=33.9409, 33.0s 2.5h/9.2h
epoch 270/1000, train: loss=0.0431, val: psnr=33.8820, 33.5s 2.5h/9.2h
epoch 271/1000, train: loss=0.0428, val: psnr=33.9359, 32.6s 2.5h/9.2h
epoch 272/1000, train: loss=0.0431, val: psnr=33.9215, 32.1s 2.5h/9.2h
epoch 273/1000, train: loss=0.0426, val: psnr=33.9683, 32.9s 2.5h/9.2h
epoch 274/1000, train: loss=0.0430, val: psnr=33.9317, 32.4s 2.5h/9.2h
epoch 275/1000, train: loss=0.0428, val: psnr=33.9402, 32.5s 2.5h/9.2h
epoch 276/1000, train: loss=0.0428, val: psnr=33.9445, 33.9s 2.6h/9.2h
epoch 277/1000, train: loss=0.0430, val: psnr=33.9276, 33.2s 2.6h/9.2h
epoch 278/1000, train: loss=0.0427, val: psnr=33.9027, 32.9s 2.6h/9.2h
epoch 279/1000, train: loss=0.0430, val: psnr=33.9096, 32.6s 2.6h/9.2h
epoch 280/1000, train: loss=0.0430, val: psnr=33.9513, 33.7s 2.6h/9.2h
epoch 281/1000, train: loss=0.0428, val: psnr=33.9489, 32.8s 2.6h/9.2h
epoch 282/1000, train: loss=0.0428, val: psnr=33.9130, 33.3s 2.6h/9.2h
epoch 283/1000, train: loss=0.0432, val: psnr=33.9255, 32.7s 2.6h/9.2h
epoch 284/1000, train: loss=0.0427, val: psnr=33.9449, 32.8s 2.6h/9.2h
epoch 285/1000, train: loss=0.0428, val: psnr=33.9378, 33.4s 2.6h/9.2h
epoch 286/1000, train: loss=0.0427, val: psnr=33.9396, 33.9s 2.6h/9.2h
epoch 287/1000, train: loss=0.0429, val: psnr=33.8774, 33.5s 2.7h/9.2h
epoch 288/1000, train: loss=0.0429, val: psnr=33.9693, 34.0s 2.7h/9.2h
epoch 289/1000, train: loss=0.0431, val: psnr=33.9508, 33.6s 2.7h/9.2h
epoch 290/1000, train: loss=0.0431, val: psnr=33.9489, 32.1s 2.7h/9.2h
